Reviewer_Name,Review_Body,Review_Date,Rating,Country,Helpful_Tag,Travel Category,Require_Translate
Rogobete,There are no comments available for this review,2024-03-15,3,Italy,,family,False
Matteo,Biglietto molto comodo che consente di accedere ad un determinato orario senza dover fare la coda. Galleria dell'Accademia assolutamente imperdibile.,2024-03-14,5,Italy,Helpful,solo,True
Sean,The accademia tour was easy to access and the guide was informative. We had quick access and the guide directed us throughout to the best places. She was easy to understand and the communication devices was very helpful in a busy place.,2024-03-12,5,United Kingdom,Helpful,a partner or spouse,False
Rudolph,kocht een kaartje voor 15uur maar kreeg er eentje voor 1515uur. Uiteindelijk toch zo'n half uur buiten in de rij gestaan.,2024-03-12,3,Netherlands,Helpful,solo,True
Peter,There are no comments available for this review,2024-03-12,5,Hungary,,friends,False
Terry,There are no comments available for this review,2024-03-10,5,Canada,,a partner or spouse,False
Sandy,There are no comments available for this review,2024-03-10,5,Italy,,a partner or spouse,False
Melanie,There are no comments available for this review,2024-03-09,5,United States,,solo,False
Aude,There are no comments available for this review,2024-03-09,5,France,,family,False
Gabriel,"Chiar am intrat în muzeu fără să stau la rând, ba chiar cu jumătate de oră înainte de ora programată. A fost mai greu să dau de persoana care să ne introducă în muzeu, nu avea niciun însemn, gen steag alb sau ceva care să facă referire la Italian Pass, așa cum era în descrierea atracției, dar dacă spui tipilor care stau în fața Academiei ca ai rezervare, e ok. Tot ce trebuie să faci este să fii cu câteva minute înainte de ora programată și faci rost de bilet și ești introdus în fața celorlalți. Am venit la atracție în special pentru David de Michelangelo, dar sunt și alte lucruri interesante de văzut aici.",2024-03-07,5,Romania,Helpful,a partner or spouse,True
Wiesława,Wszystko przebiegło sprawnie,2024-03-07,5,Poland,Helpful,a partner or spouse,True
sandra,There are no comments available for this review,2024-03-07,5,Portugal,,solo,False
Gary,Well worth a visit to see David.,2024-03-04,5,United Kingdom,Helpful,a partner or spouse,False
Heidi,There are no comments available for this review,2024-03-04,5,United States,,a partner or spouse,False
Khadija,"La visite de la galerie de l'Académie était vraiment agréable. Le clou du spectacle est bien sur la statue de David. Petit conseil, essayez de réserver tôt le matin pour avoir moins de foule. Le billet coupe file très pratique nous a permis de gagner des minutes précieuses et d'éviter une longue attente.",2024-03-04,5,France,Helpful,a partner or spouse,True
Luana,There are no comments available for this review,2024-03-01,5,Italy,,a partner or spouse,False
Susanne,There are no comments available for this review,2024-02-29,5,Germany,,family,False
Anonymous,"I absolutely loved it. I was in heaven. (The guards got mad at some loud teenagers, yelling at them to BE QUIET! But that was understandable and I'm glad they did it.)",2024-02-29,5,,Helpful,solo,False
Philipp,There are no comments available for this review,2024-02-28,5,Italy,,solo,False
Anonymous,There are no comments available for this review,2024-02-27,4,,,,False
Anonymous,"Toda la exposición es muy interesante y visualiza la calidad de artistas, escultores y pintores de una época pasada",2024-02-27,4,,Helpful,family,True
Stefano,There are no comments available for this review,2024-02-27,5,Italy,,family,False
Ron,Een bijzondere ervaring om het beeld van David door Michelangelo op ware grootte te aanschouwen. Daarnaast veel schilderijen en andere kunst met name over de geboorte en het leven van Christus als ook van de patroon van Florence Johannes de Doper.,2024-02-26,5,Netherlands,Helpful,friends,True
Luca,There are no comments available for this review,2024-02-26,5,Italy,,a partner or spouse,False
Gavin,"Olga was a fantastic guide, one of the best I have experienced. Very knowledgeable and with lots of interesting stories to share and historical facts. Would thoroughly recommend her.",2024-02-25,5,United Arab Emirates,Helpful,a partner or spouse,False
Alessandra,Museo veramente bello e il David ti lascia veramente a bocca aperta! È posizionato alla fine di questa galleria dove ci sono questi giganti che è come se lo proteggessero.veramente da vedere.,2024-02-25,5,,Helpful,family,True
Caroline,There are no comments available for this review,2024-02-24,5,United States,,,False
Fabio,Imperdibile,2024-02-22,5,Italy,Helpful,solo,True
Anonymous,There are no comments available for this review,2024-02-22,5,,,,False
Venancio,There are no comments available for this review,2024-02-22,5,Spain,,a partner or spouse,False
Gill,"The gallery is excellent, well presented with of course the fabulous “David” which is just breathtaking. Skip the queue suited us, the queues were long even in February so the cost was good value to us. We easily met the rep who was where we were told he would be, we actually arrived early and got early access. The instructions were clear and simple. If you don’t want to stand in a queue for hours, I recommend this.",2024-02-20,5,France,Helpful,friends,False
RADU,There are no comments available for this review,2024-02-19,5,Romania,,family,False
Mario,There are no comments available for this review,2024-02-19,4,Italy,,a partner or spouse,False
TomasoDavide_g,Visita agli uffizi molto interessante grazie alla guida Francesca molto preparata ed entusiasta  del suo lavoro. Peccato  la folla che in alcuni  momenti  toglieva molto valore all'esperienza....! Dovrebbero fare ingressi continentali...,2024-02-17,5,,Helpful,,True
Anonymous,There are no comments available for this review,2024-02-15,4,,,family,False
Anonymous,There are no comments available for this review,2024-02-12,5,,,,False
Anonymous,There are no comments available for this review,2024-02-11,5,,,a partner or spouse,False
Carla,Deslumbrante!!!,2024-02-10,5,Portugal,Helpful,friends,True
Anonymous,There are no comments available for this review,2024-02-10,5,,,a partner or spouse,False
Radka,There are no comments available for this review,2024-02-09,5,Czech Republic,,family,False
Jesus,There are no comments available for this review,2024-02-08,5,Mexico,,solo,False
Boriana,There are no comments available for this review,2024-02-05,5,Bulgaria,,a partner or spouse,False
Anonymous,There are no comments available for this review,2024-02-05,5,,,,False
Regina,There are no comments available for this review,2024-02-04,3,Canada,,a partner or spouse,False
marie josé,Surtout ne pas acheter le billet coupe file avec l’entrée en Fevrier J’ai payé 30 euros au lieu de 12 ou 14 si vous l’achetez directement au guichet Ce que j’ai fait pour tous les autres musées,2024-02-03,1,France,Helpful,a partner or spouse,True
Sergio,"Grazie al servizio offerto, abbiamo saltato una lunga coda. Siamo arrivati leggermente in anticipo, ma la persona era già sul posto ad attenderci. Il personale della struttura ci ha gentilmente indicato a chi dovevamo rivolgerci per il ritiro dei biglietti. Tutto ineccepibile",2024-02-02,5,Italy,Helpful,a partner or spouse,True
ROBERTO,"Esperienza molto positiva, organizzato bene il saltafila. Accademia spettacolare.",2024-01-29,5,Italy,Helpful,a partner or spouse,True
Carolina,Como fuimos en enero no había colas. El de la entrada nos dijo que nos habían timado pues pagamos 30 € por tiket y costaron 16€ por ser temporada baja. Por lo demás todo impresionante.,2024-01-29,5,Spain,Helpful,a partner or spouse,True
Giovanni,There are no comments available for this review,2024-01-28,5,Italy,,solo,False
Loris,"Esperienza molto bella sicuramente da vedere almeno una volta, il servizio salta coda sicuramente servirà in estate ma a gennaio proprio no",2024-01-27,5,Italy,Helpful,a partner or spouse,True
Roxana,There are no comments available for this review,2024-01-23,5,,,friends,False
Maria,There are no comments available for this review,2024-01-22,5,Italy,,a partner or spouse,False
Anonymous,There are no comments available for this review,2024-01-20,1,,,,False
Michela,There are no comments available for this review,2024-01-16,4,,,friends,False
Brigitte,The regular Ticket is EUR 16. The express line per ticket EUR 14 on top. And it took him five minues. Maybe there is an other solution for this which does not have the double of the price.,2024-01-16,3,Switzerland,Helpful,friends,True
Kristine_A,"The Academy was great. The contact  who gave us our tickets was not friendly although efficient. A woman who we met there, who was an different contact and who directed us to our contact, was more friendly.",2024-01-14,3,,Helpful,,False
Manuel Guillermo,Todo correcto. Lo ùnico es que el David es el reclamo mayor de esta galeria.,2024-01-13,4,,Helpful,a partner or spouse,True
Anonymous,"La empresa que nos daba las entradas nos hizo un súper favor de darnos las entradas 1 día antes, agradecidos al 10000x10000",2024-01-13,5,,Helpful,a partner or spouse,True
Jane,There are no comments available for this review,2024-01-12,4,United Kingdom,,a partner or spouse,False
Oscar,There are no comments available for this review,2024-01-12,5,Costa Rica,,family,False
Anushka,There are no comments available for this review,2024-01-12,5,Australia,,a partner or spouse,False
Brianna_S,"Needs improved communication. The landmark flower pot mentioned in the description was not there. Also, the host was not holding a flag as described. When we finally found who to get our tickets from, they told us ""go to the red line and you'll be able to walk right in"". After about 15 minutes of waiting we wondered if we were in the wrong line and ended up getting yelled at my security. It's fine if there is a wait, but saying ""you can walk right in"" is confusing.",2024-01-11,2,,Helpful,,False
Maria Grazia,There are no comments available for this review,2024-01-10,5,Italy,,friends,False
Roland,Parfait,2024-01-10,5,France,Helpful,friends,True
Daniela,There are no comments available for this review,2024-01-09,4,Italy,,family,False
Leigh_D,"Absolutely a must see! Note that these tickets give you access to the whole museum, not just Il David. This was my favorite museum in Florence!",2024-01-08,5,,Helpful,,False
Anonymous,There are no comments available for this review,2024-01-08,4,,,a partner or spouse,False
Franco,There are no comments available for this review,2024-01-08,5,Italy,,a partner or spouse,False
TEUTA,"Esperienza bellissima, vale la pena visitare.",2024-01-08,5,,Helpful,family,True
Anonymous,There are no comments available for this review,2024-01-07,3,,,,False
Anonymous,"We only looked into getting the tickets the day before and realized that all were sold out on the official site. So had no choice but to book thru 3rd party. Official entrance fee is only 16eur each, but here we pay a premium (26eur each) and under 18yo should be free but they also charge for kids 6 and above. So value wise it's not great. Pick up was a bit confusing, listed address is incorrect (so don't follow the address listed on the listing) at the entrance there were all sort of people standing around and you had to ask to find the correct company rep. However, it does skip the line, so there's no queue etc which was quite a breeze.",2024-01-07,4,,Helpful,family,False
Didier,There are no comments available for this review,2024-01-07,5,France,,a partner or spouse,False
Anonymous,There are no comments available for this review,2024-01-07,5,,,,False
Francesca,There are no comments available for this review,2024-01-06,5,Italy,,solo,False
valentina,"La ragazza con i biglietti saltafila è stata facilissima da trovare, tutti gli operatori di questo servizio erano radunati nella piccola piazzetta prima dell' ingresso, ci ha consegnato i biglietti e siamo entrati immediatamente nel museo nonostante c'erano molte persone in fila",2024-01-06,5,Italy,Helpful,a partner or spouse,True
Mary,There are no comments available for this review,2024-01-05,4,United States,,solo,False
Veronica,There are no comments available for this review,2024-01-05,5,Italy,,family,False
Mei,There are no comments available for this review,2024-01-05,5,,,family,False
Cefalo,ritardi di mezz’ora nonostante il pass salta fila Poca organizzazione Il punto d’incontro è una semplice panchina segnalata con una semplice bandierina . Il ragazzo che ci ha accolti è stato gentile e svelto .,2024-01-04,2,,Helpful,family,True
Anonymous,There are no comments available for this review,2024-01-04,1,,,,False
Nata,There are no comments available for this review,2024-01-03,5,France,,family,False
Katia,Il museo è poco significativo ..le opere esposte sono di modesto interesse e il David è l'unico capolavoro. Il prezzo del biglietto è eccessivo per quello che il museo offre.,2024-01-03,1,Italy,Helpful,a partner or spouse,True
patrick,"Tutto perfetto, ne sono entusiasta Grazie",2024-01-03,5,Italy,Helpful,family,True
Nadine,There are no comments available for this review,2024-01-02,5,Switzerland,,a partner or spouse,False
Vani,There are no comments available for this review,2024-01-02,5,,,family,False
Luca,There are no comments available for this review,2024-01-02,5,Italy,,a partner or spouse,False
Patricia,Rapide et efficace,2024-01-02,5,France,Helpful,friends,True
Elena,There are no comments available for this review,2024-01-01,5,Italy,,family,False
Anonymous,There are no comments available for this review,2024-01-01,5,,,,False
Radek,There are no comments available for this review,2023-12-31,4,Czech Republic,,a partner or spouse,False
Alessandro,There are no comments available for this review,2023-12-31,5,Italy,,family,False
Stefania,There are no comments available for this review,2023-12-30,5,Italy,,family,False
Anonymous,There are no comments available for this review,2023-12-30,4,,,,False
antonella,There are no comments available for this review,2023-12-30,4,Italy,,family,False
Anonymous,Complicato trovare gli operatori per ricevere i biglietti. Gli operatori sono arrivati con 10 minuti di ritardo,2023-12-30,1,,Helpful,family,True
Anonymous,There are no comments available for this review,2023-12-30,1,,,,False
Fabio,There are no comments available for this review,2023-12-29,5,Italy,,family,False
Elizandrew,There are no comments available for this review,2023-12-29,5,Switzerland,,family,False
Andrea,There are no comments available for this review,2023-12-29,3,Italy,,family,False
Anonymous,There are no comments available for this review,2023-12-29,5,,,family,False
Federico,There are no comments available for this review,2023-12-28,5,United States,,solo,False
Thierry,There are no comments available for this review,2023-12-28,5,France,,family,False
Donatella,There are no comments available for this review,2023-12-27,5,Italy,,solo,False
Anonymous,There are no comments available for this review,2023-12-26,1,,,,False
Ana Beatriz,There are no comments available for this review,2023-12-25,5,Brazil,,friends,False
ΑΛΙΚΗ,There are no comments available for this review,2023-12-25,5,Greece,,family,False
Mônica,There are no comments available for this review,2023-12-25,5,Brazil,,solo,False
Lola,"Imprescindible visitarlo. Acceso rápido, posteriormente se puede alquilar audioguia. Mejor preguntar a las personas que veamos llevan un rato en la plaza para los ticket porque no llevaban el distintivo indicado.",2023-12-25,4,Spain,Helpful,a partner or spouse,True
Edwin Roberto,There are no comments available for this review,2023-12-23,5,Chile,,family,False
Kholood,There are no comments available for this review,2023-12-19,5,United Arab Emirates,,family,False
Tiziana,Ho trovato facilmente la persona al punto d’incontro ed ho avuto i biglietti subito senza attese,2023-12-18,5,Italy,Helpful,family,True
Anonymous,There are no comments available for this review,2023-12-18,5,,,,False
Giovanni,There are no comments available for this review,2023-12-17,5,Italy,,a partner or spouse,False
Anonymous,There are no comments available for this review,2023-12-16,5,,,a partner or spouse,False
Marco,There are no comments available for this review,2023-12-16,4,Italy,,family,False
Rebecca,There are no comments available for this review,2023-12-15,5,United Kingdom,,a partner or spouse,False
PAULA,"Fuimos a ver El David de Miguel Angel, lo recomiendo 100%",2023-12-15,5,Spain,Helpful,a partner or spouse,True
Barbara,"Stupende opere d’arte, esperienza incantevole, potete noleggiare l’audio guida sul posto",2023-12-14,5,Italy,Helpful,family,True
Nathalia,There are no comments available for this review,2023-12-12,5,Spain,,friends,False
Adriano,Ottimo,2023-12-11,4,Italy,Helpful,a partner or spouse,True
alessia,There are no comments available for this review,2023-12-11,5,Italy,,a partner or spouse,False
MILENA,There are no comments available for this review,2023-12-11,5,Italy,,friends,False
anna maria,There are no comments available for this review,2023-12-11,5,,,solo,False
Anonymous,There are no comments available for this review,2023-12-11,4,,,,False
Jose,There are no comments available for this review,2023-12-11,5,United States,,solo,False
Mark,Would not pay for the skip the line. Really only the Statue of David and the rest of the display is from artists I didn’t recognise.,2023-12-10,3,Australia,Helpful,family,False
Roberto,There are no comments available for this review,2023-12-10,3,Italy,,a partner or spouse,False
giuseppe,There are no comments available for this review,2023-12-10,5,Italy,,family,False
Irina,There are no comments available for this review,2023-12-09,5,,,family,False
Tanya,"No vale la pena comprar entrada por adelantado, especialmente en esta época del año.",2023-12-09,3,Bulgaria,Helpful,solo,True
Yolanda,"Rápido, sin colas. Todo fenomenal.",2023-12-07,5,Spain,Helpful,a partner or spouse,True
bruno,There are no comments available for this review,2023-12-07,5,Italy,,a partner or spouse,False
Blanca,There are no comments available for this review,2023-12-07,5,,,a partner or spouse,False
Israel isaac,There are no comments available for this review,2023-12-06,5,Mexico,,solo,False
Anonymous,There are no comments available for this review,2023-12-05,5,,,,False
Michele,There are no comments available for this review,2023-12-05,5,Italy,,friends,False
MAURIZIO,"Posto meraviglioso: unica pecca, la mancanza del servizio guardaroba",2023-12-04,5,Italy,Helpful,a partner or spouse,True
Renzo,Ottima la scelta dell' acquisto dei biglietti d'ingresso salta-fila: entrata rapida senza dover soffrire per il freddo nelle attese all'esterno della struttura. Evitati gli affollamenti con gli ingressi scaglionati. Apprezzata la facilità di lettura e godimento di ogni opera esposta.,2023-12-04,5,Italy,Helpful,a partner or spouse,True
Anonymous,"It was very very confusing. The agent was standing by himself with No signage or whatsoever. I had to ask the museum people where to find him. They were the ones who told me that was the agent standing near the ATM. I will not book tours with booking.com. My other tour to Palazzo Medici, the tour guide with my ticket did not turn up even. I have already raised it with you.",2023-12-04,3,,Helpful,,False
Gomes,"Galeria lindíssima, vale muito a pena!",2023-12-04,5,Portugal,Helpful,a partner or spouse,True
Clara,There are no comments available for this review,2023-12-04,4,Spain,,a partner or spouse,False
marco,There are no comments available for this review,2023-12-04,5,Italy,,a partner or spouse,False
Marina,Me resultó súper fácil todo,2023-12-04,5,Spain,Helpful,a partner or spouse,True
Anonymous,There are no comments available for this review,2023-12-04,5,,,a partner or spouse,False
Andrea,There are no comments available for this review,2023-12-04,5,Italy,,a partner or spouse,False
