Reviewer_Name,Review_Body,Review_Date,Rating,Country,Helpful_Tag,Travel Category,Require_Translate
Klaudia,"The trip started lovely we went to Murano island first and later we head to this lovely island Burano. We have been told where to meet and what time we leaving to the third island. Unfortunately, me and my mum were lost on the island and waited on the wrong side of the port. The boat left without us. It is our fault that we waited in the wrong spot but the trip organiser at least should off left w con tact number in emergency. We have been left on the island, and had to organise a transport to come back. We have missed the last part of the trip. The islands we managed to see were lovely but not happy about how the trip were organised.",2024-03-15,3,United Kingdom,Helpful,family,False
HUBERT,"Belle balade en bateau , je recommande cette activité.",2024-03-15,5,France,Helpful,friends,True
Anonymous,There are no comments available for this review,2024-03-15,4,,,,False
Anonymous,"Sehr schöne Tour, kann man nur weiter Empfehlen.",2024-03-13,5,,Helpful,friends,True
Bozena,There are no comments available for this review,2024-03-12,5,Belgium,,friends,False
Gudrun,"Keine Informationen, es war eigentlich nur eine Fahrt von Insel zu Insel, so wie mit einem normalen Vaporetto! Einem Glasbläser konnte man zusehen! Eine Frau las schnell in einigen Sprachen etwas dazu vor!",2024-03-12,3,Austria,Helpful,a partner or spouse,True
Anonymous,There are no comments available for this review,2024-03-12,4,,,,False
Grigoriizaripov@gmail.com,There are no comments available for this review,2024-03-12,5,Sweden,,family,False
Guillaume,Super activité dommage pour le temps mais on ne le contrôle pas malheureusement,2024-03-12,5,France,Helpful,a partner or spouse,True
Magalie,"Super excursion, Burano est magnifique, la visite de la soufflerie très intéressante et les tarifs correcte. Torcello selon moi inutile, à part une basilique payante à visiter il n’y a rien. Dommage que nous ayons eu une pluie torrentielle sur la journée mais la beauté de burano vaut le coup",2024-03-12,5,France,Helpful,a partner or spouse,True
Anonymous,"Trip to Murano and Burano islands was nice, but noise on the boat was so high, that we were unable to understand narated guide on the boat. Also demonstration on Murano was nice, but only short demonstration. Torcello island is another story, because heavy rain ruined it for us, but this was not fault of organisers.",2024-03-12,3,,Helpful,family,False
Claudia,"Torcello is nothing, you don’t need to go there. The boat was overbooked and we had to seat in the water because it was raining, windy et super cold.",2024-03-11,3,Canada,Helpful,a partner or spouse,False
Rafael,There are no comments available for this review,2024-03-11,5,Spain,,family,False
Pablo,"Las 2 primeras paradas a Murano y Burano están muy bien, pero la parada en la isla de Torcello, ahora mismo sobra, porque si lo más interesante de la isla es la visita a la Catedral de la Asunción, y esta se encuentra desmontada por las obras de restauración, te sientes un poco estafado, que nos cobraron 5 euros por la entrada, y encima la Iglesia de Santa Fosca estaba cerrada, pues todo dicho.",2024-03-09,4,Spain,Helpful,a partner or spouse,True
Sophie,There are no comments available for this review,2024-03-09,5,France,,family,False
Marcantonio2005,There are no comments available for this review,2024-03-09,4,,,family,False
Kristýna,There are no comments available for this review,2024-03-07,5,Czech Republic,,a partner or spouse,False
Crina Norica,"Traseul in sine a fost foarte frumos. Ca si timp alocat pentru vizitare pe insulele Murano si Burano , este foarte putin. Nu poti sa vezi mare lucru. Ghidul a fost ok, dar ne-a insotit doar pe barca. Pe insule nu a venit cu grupul si nu am primit nici un fel de informatii despre ceea ce am vizitat pe acolo.",2024-03-07,5,Romania,Helpful,friends,True
Ana María,Considero que el tiempo que se está en cada una de las islas es muy escaso tanto que no te da tiempo ni a comer y además poco adaptado para carritos de bebés.,2024-03-06,3,Spain,Helpful,family,True
Anonymous,There are no comments available for this review,2024-03-05,4,,,family,False
Kristýna,There are no comments available for this review,2024-03-05,2,Czech Republic,,a partner or spouse,False
Paulina,There are no comments available for this review,2024-03-05,5,United Kingdom,,,False
EVA,There are no comments available for this review,2024-03-05,2,Spain,,friends,False
Anonymous,There are no comments available for this review,2024-03-04,3,,,,False
Otto,There are no comments available for this review,2024-03-04,3,Austria,,friends,False
Oluwadamilola,There are no comments available for this review,2024-03-03,5,United Kingdom,,a partner or spouse,False
Vendy,There are no comments available for this review,2024-03-02,5,Czech Republic,,a partner or spouse,False
BENOIT,There are no comments available for this review,2024-02-29,5,France,,a partner or spouse,False
Anonymous,There are no comments available for this review,2024-02-27,4,,,,False
Anonymous,There are no comments available for this review,2024-02-27,3,,,,False
Maria Nicoleta,There are no comments available for this review,2024-02-27,5,Romania,,family,False
Iban,There are no comments available for this review,2024-02-25,4,Spain,,a partner or spouse,False
Petr,There are no comments available for this review,2024-02-24,5,Czech Republic,,a partner or spouse,False
