Reviewer_Name,Review_Body,Review_Date,Rating,Country,Helpful_Tag,Travel Category,Require_Translate
Massimo,"Mai vista una bellezza simile: unica ed ineguagliabile, da togliere il fiato!",2024-03-17,5,,Helpful,a partner or spouse,True
Federico,There are no comments available for this review,2024-03-17,5,United States,,family,False
Yvonne,"Die Kathedrale ist absolut phantastisch! Der Audioguide war mit Hilfe vor Ort einfach herunter zu laden. Leider waren die Stationen zu den einzelnen Hörpunkten etwas schwierig zu finden. Wir sind nicht sicher, ob es an den vielen Besuchern gelegen hat, dass es ein wenig unübersichtlich war",2024-03-16,4,Germany,Helpful,a partner or spouse,True
Sanjayh,There are no comments available for this review,2024-03-16,5,India,,family,False
Anonymous,There are no comments available for this review,2024-03-16,2,,,,False
Rivara,There are no comments available for this review,2024-03-16,4,Italy,,friends,False
Anonymous,There are no comments available for this review,2024-03-16,4,,,a partner or spouse,False
Anonymous,There are no comments available for this review,2024-03-16,3,,,family,False
Brigitta,There are no comments available for this review,2024-03-16,5,Hungary,,a partner or spouse,False
guirola,Es una experiencia Super!!!,2024-03-16,5,,Helpful,a partner or spouse,True
Antonio,La Sagrada Familia è una meta da non perdere quando si visita Barcellona. E' un'esperienza unica. Un po' difficile l'utilizzo dell'audioguida ma rimane pur sempre un esperienza fantastica.,2024-03-15,5,Italy,Helpful,a partner or spouse,True
Anonymous,There are no comments available for this review,2024-03-15,5,,,,False
Eszter,There are no comments available for this review,2024-03-15,5,Hungary,,friends,False
Dirk,There are no comments available for this review,2024-03-15,5,Germany,,a partner or spouse,False
Anonymous,There are no comments available for this review,2024-03-15,5,,,,False
Ξανθούλα,There are no comments available for this review,2024-03-15,5,Greece,,family,False
Christiane,There are no comments available for this review,2024-03-15,3,Germany,,family,False
Ana,"Amazing experience, audio guide was sufficient, don't miss this beautiful creation if you are visiting Barcelona!",2024-03-15,5,Serbia,Helpful,family,False
Claude,Il faut prendre le temps d’apprécier tout l’esprit créatif de Gaudi en imaginant se retrouver dans une forêt magnifique avec l’incursion de la lumière venant de l’extérieur. Bon pour l’esprit.,2024-03-15,5,Canada,Helpful,a partner or spouse,True
thierry,There are no comments available for this review,2024-03-15,5,France,,a partner or spouse,False
Tadeusz,There are no comments available for this review,2024-03-15,5,Poland,,a partner or spouse,False
Michela,There are no comments available for this review,2024-03-15,5,Italy,,family,False
Thierry,"Encore un lieu envahit en milieu de semaine à la mi mars... Trop de monde. Sinon, un peu cher pour le lieu.",2024-03-14,3,France,Helpful,a partner or spouse,True
Susan,We had trouble accessing the audio guide through our phones. We only managed two out of three. There were no customer service reps to help. We managed and enjoyed the experience.,2024-03-14,4,Spain,Helpful,family,False
Anonymous,There are no comments available for this review,2024-03-14,3,,,,False
Christian,There are no comments available for this review,2024-03-14,4,Switzerland,,a partner or spouse,False
jacqueline,Déjà visité en 2008. l'avancée des travaux est phénoménale. A l'intérieur tout est visible. Encore quelques échafaudages à l'extérieur mais rien de génant. A l'entrée un service de sécurité ultra performant. A visiter sans restriction,2024-03-14,5,France,Helpful,family,True
Suzie,What a place! It was busy but still a very beautiful place to visit.,2024-03-14,5,United Kingdom,Helpful,solo,False
Nataliya,There are no comments available for this review,2024-03-14,5,Ukraine,,friends,False
Xiaoyu,There are no comments available for this review,2024-03-14,5,Germany,,family,False
