Reviewer_Name,Review_Body,Review_Date,Rating,Country,Helpful_Tag,Travel Category,Require_Translate
Cynthia,"Me encantooo, embarcamos de noche y las vistas hermosas",2024-03-17,5,Spain,Helpful,a partner or spouse,True
Anonymous,There are no comments available for this review,2024-03-16,3,,,,False
Horčičková,There are no comments available for this review,2024-03-16,4,,,family,False
Pamela,Bellissima esperienza,2024-03-16,5,Italy,Helpful,family,True
Anonymous,There are no comments available for this review,2024-03-16,5,,,,False
Corinne,There are no comments available for this review,2024-03-15,4,France,,solo,False
YIANNIS,Nice experience Good value for money,2024-03-15,3,Cyprus,Helpful,a partner or spouse,False
Esther,Experiencia necesaria en París. La mejora hora es el atardecer.,2024-03-15,5,Spain,Helpful,a partner or spouse,True
Anonymous,There are no comments available for this review,2024-03-15,4,,,family,False
Mary,Great! 10/10,2024-03-15,5,France,Helpful,solo,False
Canas,There are no comments available for this review,2024-03-15,1,Spain,,a partner or spouse,False
Alessia,There are no comments available for this review,2024-03-15,4,Italy,,a partner or spouse,False
Daniel,O Rio Sena estava com nível muito alto e não conseguimos fazer o passeio,2024-03-15,1,Brazil,Helpful,family,True
Gina Paola,It was really beautiful specially at night it was a bit chilly as it was in March but it was worth seeing all the lights it looks way better than during the day. The line was a bit long as you don’t book a time slot only the date so make sure you account for the time in the line as you might end up going in later than planned,2024-03-15,5,Canada,Helpful,friends,False
Sherif,There are no comments available for this review,2024-03-15,4,United Kingdom,,family,False
Kuyper,Muy bueno en general.Confiable para contratar.Buena organización,2024-03-14,5,Argentina,Helpful,solo,True
katie,The boat could not go out because of high water. Refund please.,2024-03-13,1,United States,Helpful,friends,False
Anonymous,There are no comments available for this review,2024-03-13,2,,,,False
Ariel,There are no comments available for this review,2024-03-13,5,United States,,family,False
Anonymous,There are no comments available for this review,2024-03-13,1,,,,False
Anonymous,There are no comments available for this review,2024-03-12,5,,,,False
karin,Nette Fährt,2024-03-11,4,Austria,Helpful,family,True
Anonymous,There are no comments available for this review,2024-03-11,4,,,,False
Steven,Great one hour to take out your day to cruise along the river to see the sights of Paris. Big queues on arrival which very quickly dwindles down as the boats carry loads of passengers at a time. Booked our tickets through Booking.com in advance which was an open ticket with no set time as long as you choose the actual day you wish to travel........highly recommended !!!!,2024-03-11,5,United Kingdom,Helpful,a partner or spouse,False
Anonymous,There are no comments available for this review,2024-03-11,2,,,family,False
Jean-Yves,Le trajet était raccourci à cause des crues. Commentaires incompréhensible. Lien tél impossible à télécharger,2024-03-11,3,,Helpful,family,True
Fernando,"Ottima esperienza, tutto bene organizzato personale disponibile. Ottimo per vedere le bellezze sulla Senna",2024-03-11,4,Italy,Helpful,family,True
Nikki,There are no comments available for this review,2024-03-10,4,United Kingdom,,family,False
